entry_ts,exit_ts,side,entry_price,exit_price,pnl,won,close_reason,ema9_ratio,ema21_ratio,ema50_ratio,ema200_ratio,rsi,stochrsi_k,stochrsi_d,macd_h_norm,adx,adx_dmp_norm,adx_dmn_norm,bb_pct,vol_ratio,atr_contracted,bull_engulf,bear_engulf,hammer,shooting_star,three_bull,three_bear,ms_bull,ms_bear,near_channel_top,near_channel_bot,hurst_acf1,bull_score,bear_score,net_score,regime_enc,htf_rsi,side_enc
2023-01-25 16:15:00,2023-01-25 17:15:00,LONG,22643.41,22523.54,-1.97,0,SENAL_BAJISTA,0.9971100893076652,0.9976417019896823,0.9993550452385446,1.0045615365494331,54.833051111523964,88.13735443087577,74.1252900327557,0.08422229336567955,28.006652715920623,0.641558593143311,0.8644982250882838,0.5,1.2386289455004282,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.183524751490659,62,44,18,0,55.4,1
2023-01-25 21:30:00,2023-01-25 22:45:00,LONG,23225.31,22930.01,-4.73,0,STOP_LOSS,0.9877842415461473,0.9821357344678748,0.9782811574857799,0.9795112141467269,82.31311516419248,97.06913087054429,94.41375243372364,0.40072638067445887,30.89867113057419,1.4409649667046014,0.24024855736499257,0.5,4.579652935742842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.07992097592068313,62,36,26,0,62.6,1
2023-01-26 12:30:00,2023-01-26 14:30:00,LONG,23091.47,23032.28,-0.95,0,STOP_LOSS,0.9962082576696487,0.996174929841111,0.9965966938803857,0.9917251116859398,58.85746088859208,93.78242919354878,93.78242919354878,0.26379669224176544,33.98340425909031,0.7237992837474806,0.676168102212854,0.5,1.781440628695801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004279438380866099,62,20,42,0,58.0,1
2023-01-26 19:45:00,2023-01-27 00:45:00,LONG,23073.6,22923.71,-2.4,0,STOP_LOSS,0.9988608240192706,0.9985484173855886,0.9983561841706069,0.9941293389512328,54.14952799934185,81.53887675167053,68.19211431614627,0.07473173405396333,26.290203577938613,0.6739598412568164,0.9164486288502061,0.5,0.47112576118493965,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0002604063313372609,62,23,39,0,60.9,1
2023-01-27 05:45:00,2023-01-27 11:00:00,LONG,23030.0,22922.99,-1.71,0,SENAL_BAJISTA,0.9933683153778293,0.992866394982122,0.9950481534310238,0.9956459195477358,64.45323820525137,99.99999999999999,96.36286981737724,0.42035424880432043,27.75102651674028,1.3594662626456435,0.6997602076066364,0.5,1.5556018560058065,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.042700967008827154,64,28,36,0,58.2,1
2023-01-27 15:15:00,2023-01-27 15:45:00,LONG,23084.9,22931.66,-2.45,0,STOP_LOSS,0.9957655328369588,0.9947277919574347,0.9943165073945169,0.9937927754696879,64.97044094501315,97.72815274370699,78.85744968517272,0.20767546039763812,17.396983345750918,1.5609514237295654,0.8751403349533153,0.5,1.8097848204253488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0939278876639822,59,22,37,0,53.8,1
2023-01-27 17:00:00,2023-01-27 20:45:00,LONG,23131.96,23104.13,-0.44,0,STOP_LOSS,0.9973649447690793,0.9952167576935785,0.993605859116789,0.9921624334786194,61.28248815556587,74.76814094897266,68.55870862015752,0.20176549944308733,18.577714956889384,1.3940493070729756,0.7819838134742072,0.5,1.210813554823111,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0181711467409547,62,34,28,0,61.4,1
2023-01-30 04:30:00,2023-01-30 08:15:00,LONG,23719.73,23545.04,-2.71,0,STOP_LOSS,0.9990621535299611,0.9990183927718755,0.9975889894198933,0.9854843882353521,53.07926746308595,94.28083962444023,92.51625935526934,0.13923426223238164,16.786406083638663,1.3869571143427326,1.2659294569162005,0.5,0.6411689193448936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0693906594538469,64,19,45,0,63.7,1
2023-01-30 20:15:00,2023-01-31 07:45:00,SHORT,22673.16,22982.07,-4.99,0,STOP_LOSS,1.0076312110224885,1.0136794361040689,1.0211595322044034,1.0277707234987905,27.302864677194705,26.475668437403304,19.52652610098588,-0.3553048042999371,46.35235496672462,0.17152824884953774,1.0338767633775579,0.5,1.7032682950909153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.12706068480314767,35,61,26,0,42.1,-1
2023-01-31 13:45:00,2023-01-31 21:15:00,LONG,23120.0,22990.65,-2.04,0,STOP_LOSS,0.9932681414939378,0.991221079919927,0.9904324619084325,0.9981036110239337,72.29672459644418,86.1951209696993,86.1951209696993,0.4167838194544003,18.187135432055662,2.021502732784086,0.5647965414336753,0.5,2.2476523279375313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.11896938912598944,62,46,16,0,50.6,1
2023-01-31 23:00:00,2023-02-01 07:45:00,LONG,23105.18,23074.56,-0.48,0,SENAL_BAJISTA,0.9970977732029564,0.9977054989563645,0.9970864593212072,0.9989585740410024,53.918401444382575,74.21695829552472,53.48971588820699,0.015356848762554371,32.68391482596362,1.208948140824886,0.6364497129441379,0.5,1.409519547738843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.06200345034479337,59,27,32,0,50.7,1
2023-02-01 13:15:00,2023-02-01 15:15:00,LONG,23102.1,23042.87,-0.93,0,SENAL_BAJISTA,0.9986414750762875,0.9980855433486241,0.9981849469176931,0.9989359873200959,58.129786008183466,77.09274799008668,76.35567568614232,0.20268708630034002,17.937173811215505,1.5423379255281788,1.3146622636191074,0.5,4.175434145078834,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04548317419509203,62,26,36,0,46.2,1
2023-02-01 15:45:00,2023-02-01 18:15:00,SHORT,22980.81,23101.16,-1.9,0,STOP_LOSS,1.0029163024399361,1.0033470768071509,1.0034893574846717,1.0041573376492294,36.72263163527373,0.0,6.503706044756634,-0.18774875324756196,16.107821432009615,1.056202158623734,2.1339476568875564,0.5,2.296543409968205,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.03464682991791973,28,61,33,0,46.2,-1
2023-02-01 19:30:00,2023-02-01 22:30:00,LONG,23260.73,23650.99,6.09,1,STOP_LOSS,0.9922925397869923,0.9912095946878355,0.9910892403977204,0.9918464715066443,67.07626673721421,73.99853561823257,75.3145183476527,0.16444176776188862,24.460628213344805,0.3740112923821459,1.2360391894942757,0.5,5.345726883340193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-0.18485929152227076,64,34,30,0,57.6,1
2023-02-02 00:30:00,2023-02-02 02:15:00,LONG,24167.61,23907.6,-3.93,0,STOP_LOSS,0.9848512782682146,0.9782884790590027,0.9688535355536195,0.9592612587528904,82.43984932058473,33.59809370311678,12.924869690270805,0.10246581222961908,19.765437053964945,2.114869015142676,0.6925876844375213,0.5,3.871681525220002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.040987409297195465,64,34,30,0,67.0,1
2023-02-02 14:15:00,2023-02-02 14:30:00,LONG,23904.82,23770.16,-2.05,0,STOP_LOSS,0.9963184834522693,0.9960498259796908,0.9945896516230752,0.9813846179689831,62.617302502735185,55.27177327210756,32.605636839168156,0.10124587960672757,14.268671596164355,2.273100545890891,1.3339924267848489,0.5,3.123921059674487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002809875762326062,64,16,48,0,65.4,1
2023-02-02 16:15:00,2023-02-02 19:00:00,LONG,23859.24,23891.49,0.49,1,STOP_LOSS,0.9967396529523642,0.9967062289030788,0.9961519553686329,0.9841671643312251,55.64414989906099,69.79533835251152,63.504910430767644,0.09323568526987776,15.813783595395659,1.5651341789714701,1.2164199874035688,0.5,2.212406885297556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0412985996102572,64,26,38,0,64.5,1
2023-02-03 15:15:00,2023-02-03 18:15:00,LONG,23616.65,23425.04,-2.95,0,STOP_LOSS,0.994653433350488,0.9939454857876004,0.9948418544525041,0.9958315343889107,64.002795434574,90.77722902939283,75.0212610363974,0.15362657583802983,24.43016555481809,1.3335788498215124,0.8923125318695364,0.5,2.0854154049745475,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.17065540381995892,64,31,33,0,56.2,1
2023-02-06 04:45:00,2023-02-06 05:30:00,SHORT,22870.13,22730.28,2.21,1,STOP_LOSS,1.0017629963016923,1.0028544546995046,1.005031665870891,1.014408075961587,39.047262379492345,27.09509673505788,30.531286451768004,-0.17450327780701494,32.07615217740202,0.3516953219761006,0.9661420820206804,0.5,1.6193888932782923,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.03203091054668434,28,61,33,0,34.5,-1
2023-02-06 07:15:00,2023-02-06 11:45:00,SHORT,22833.53,22878.88,-0.72,0,STOP_LOSS,0.9986775251459157,1.0003805908945527,1.0036983892900961,1.0142859012416154,46.742670390055764,84.68933696447812,78.21290786463543,0.030565101891102116,45.89979186406094,0.3214336483804508,0.7458342619205013,0.5,1.4223228744224143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.020549428407260303,33,59,26,0,34.5,-1
